Case Name, C1, C2, C3, C4
20,12;13,11;12
20,11;11,13;13
20,17;19,20;20
20,12;15.2,13;15
20,15;16,17;17
20,8;11,8;8
20,12;15,12;15
20,11;12,10;12
20,23;25,22;22
21,14;15,13;13
21,28;29,29;33.2
21,8;11,11;12
21,10;11,11;11
21,16;16,17;18
21,7;9,6;7
21,12;13,10;11
21,11;11,8;10
21,17;19,17;24
21,12;15.2,13.2;14
21,15;16,17;18
21,8;11,8;10
21,12;15,14;15
21,11;12,9;12
21,23;25,24;26
22,14;15,13;14
22,28;29,28;33.2
22,8;11,9;12
22,10;11,12;12
22,16;16,15;18
22,7;9,7;8
22,12;13,9;12
22,11;11,9;12
22,17;19,17;20
22,12;15.2,14;14
22,15;16,17;18
22,8;11,8;8
22,12;15,13;14
22,11;12,12;12
22,23;25,21;24
23,14;15,10;13
23,28;29,30;32
23,8;11,8;10
23,10;11,12;13
23,16;16,15;16
23,7;9,7;10
23,12;13,8;10
23,11;11,11;13
23,17;19,17;23
23,12;15.2,13;15.2
23,15;16,14;19
23,8;11,11;11
23,12;15,14;15
23,11;12,9;12
23,23;25,22;27
24,14;15,13;13
24,29;30.2,29;33.2
24,10;10,11;12
24,11;11,11;11
24,14;17,17;18
24,6;7,6;7
24,11;12,10;11
24,13;13,8;10
24,20;20,17;24
24,13;15,13.2;14
24,17;17,17;18
24,8;8,8;10
24,12;15,14;15
24,10;12,9;12
24,22;22,24;26
25,14;15,14;15
25,29;30.2,28;29
25,10;10,8;11
25,11;11,10;11
25,14;17,16;16
25,6;7,7;9
25,11;12,12;13
25,13;13,11;11
25,20;20,17;19
25,13;15,12;15.2
25,17;17,15;16
25,8;8,8;11
25,12;15,12;15
25,10;12,11;12
25,22;22,23;25
26,14;15,13;14
26,29;30.2,28;33.2
26,10;10,9;12
26,11;11,12;12
26,14;17,15;18
26,6;7,7;8
26,11;12,9;12
26,13;13,9;12
26,20;20,17;20
26,13;15,14;14
26,17;17,17;18
26,8;8,8;8
26,12;15,13;14
26,10;12,12;12
26,22;22,21;24
27,14;15,10;13
27,29;30.2,30;32
27,10;10,8;10
27,11;11,12;13
27,14;17,15;16
27,6;7,7;10
27,11;12,8;10
27,13;13,11;13
27,20;20,17;23
27,13;15,13;15.2
27,17;17,14;19
27,8;8,11;11
27,12;15,14;15
27,10;12,9;12
27,22;22,22;27
28,11;14,14;15
28,29;30,29;29
28,7;8,10;12
28,12;12,10;10
28,18;18,16;17
28,6;9.3,6;9
28,11;13,11;11
28,11;11,11;11
28,22;24,20;20
28,13;15.2,13;15
28,16;17,17;19
28,12;12,9;11
28,15;15,15;24
28,11;12,9;11
28,20;24,18;21
29,11;14,13;15
