Case Name,C1,C2,C3,C4
393,D61,D62,D63,n/a
394,D61,D62,D63,n/a
395,D61,D62,D63,n/a
396,D61,D62,D63,n/a
397,D61,D62,D63,n/a
398,D61,D62,D63,n/a
399,D61,D62,D63,n/a
400,D61,D62,D63,n/a
401,D61,D62,D63,n/a
402,D61,D62,D63,n/a
403,D61,D62,D63,n/a
404,D61,D62,D63,n/a
405,D61,D62,D63,n/a
406,D61,D62,D63,n/a
407,D61,D62,D63,n/a
408,D61,D62,D63,n/a
409,D61,D62,D63,n/a
410,D61,D62,D63,n/a
411,D61,D62,D63,n/a
412,D61,D62,D63,n/a
413,D61,D62,D63,n/a
414,D61,D62,D63,n/a
415,D61,D62,D63,n/a
416,D65,D68,D64,n/a
417,D67,D69,D66,n/a
418,D71,D73,D74,n/a
419,D78,D65,D67,n/a
420,D75,D76,D72,n/a
421,D75,D77,D73,n/a
422,D75,D66,D78,n/a
423,D81,D70,D77,n/a
424,D79,D71,D78,n/a
425,D83,D84,D80,n/a
426,D82,D64,D84,n/a
427,D64,D65,D66,n/a
428,D68,D65,D69,n/a
429,D84,D82,D83,n/a
430,D81,D83,D65,n/a
431,D64,D66,D67,n/a
432,D69,D71,D70,n/a
433,D70,D74,D75,n/a
434,D76,D77,D78,n/a
435,D71,D74,D76,n/a
436,D77,D69,D64,n/a
437,D79,D80,D81,n/a
438,D79,D68,D72,n/a
439,D80,D69,D73,n/a
440,D78,D65,D81,n/a
441,D71,D74,D72,n/a
442,D75,D76,D82,n/a
443,D75,D77,D70,n/a
444,D77,D69,D84,n/a
445,D75,D66,D69,n/a
446,D79,D80,D67,n/a
447,D79,D68,D74,n/a
448,D81,D70,D66,n/a
449,D79,D71,D64,n/a
450,D83,D84,D72,n/a
451,D64,D65,D66,n/a
452,D68,D65,D84,n/a
453,D84,D82,D83,n/a
454,D81,D83,D77,n/a
455,D82,D64,D80,n/a
456,D65,D68,D78,n/a
457,D64,D66,D71,n/a
458,D69,D70,D68,n/a
459,D72,D73,D77,n/a
460,D67,D69,D76,n/a
461,D71,D73,D75,n/a
462,D70,D74,D79,n/a
463,D76,D77,D73,n/a
464,D03,D49,D02,D14
465,D03,D21,D43,D49
466,D09,D32,D31,D07
467,D43,D31,D32,D07
468,D46,D27,D19,D32
469,D12,D27,D32,D31
470,D31,D02,D09,D49
471,D06,D31,D14,D49
472,D44,D18,D31,D32
473,D18,D32,D19,D49
474,D18,D32,D06,D21
475,D43,D18,D01,D42
476,D02,D43,D32,D49
477,D43,D02,D32,D49
478,D07,D14,D21,D49
479,D43,D18,D01,D42
480,D05,D38,D42,D09
