Case Name,Locus,Race,,LR,Pn,Pd,,Time (seconds),,Pn HET0,Pn HET1,Pn HET2,Pn HOM0,Pn HOM1,,Pd HET0,Pd HET1,Pd HET2,Pd HOM0,Pd HOM1
2_,D8,CAUCASIAN,,5.26639,0.00716803,0.00136109,,28.825,,0.91,0.07,0.02,0.98,0.02,,0.91,0.07,0.02,0.98,0.02
2_,D8,BLACK,,2.25953,0.012753,0.00564409,,32.446,,0.91,0.07,0.02,0.98,0.02,,0.91,0.07,0.02,0.98,0.02
2_,D8,HISPANIC,,5.30364,0.00644048,0.00121435,,23.046,,0.91,0.07,0.02,0.98,0.02,,0.91,0.07,0.02,0.98,0.02
2_,D8,ASIAN,,5.13914,0.00768666,0.00149571,,21.063,,0.91,0.07,0.02,0.98,0.02,,0.91,0.07,0.02,0.98,0.02
2_,D21,BLACK,,16.6206,6.26249e-06,3.7679e-07,,30.076,,0.83,0.15,0.02,0.98,0.02,,0.83,0.15,0.02,0.98,0.02
2_,D21,CAUCASIAN,,8.99308,6.69386e-06,7.44334e-07,,25.502,,0.83,0.15,0.02,0.98,0.02,,0.83,0.15,0.02,0.98,0.02
2_,D21,HISPANIC,,15.9232,4.86136e-06,3.05301e-07,,19.077,,0.83,0.15,0.02,0.98,0.02,,0.83,0.15,0.02,0.98,0.02
2_,D21,ASIAN,,15.206,1.29069e-05,8.48802e-07,,24.025,,0.83,0.15,0.02,0.98,0.02,,0.83,0.15,0.02,0.98,0.02
2_,D7,BLACK,,8.08511,0.10845,0.0134135,,16.124,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
2_,D7,ASIAN,,34.5637,0.0253711,0.000734038,,13.894,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
2_,D7,HISPANIC,,12.6653,0.0692309,0.00546616,,15.423,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
2_,D7,CAUCASIAN,,11.5887,0.075663,0.00652906,,17.801,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
2_,CSF,BLACK,,2.72819,0.242822,0.0890047,,18.577,,0.74,0.24,0.02,0.98,0.02,,0.74,0.24,0.02,0.98,0.02
2_,CSF,CAUCASIAN,,1.78548,0.246892,0.138278,,37.458,,0.74,0.24,0.02,0.98,0.02,,0.74,0.24,0.02,0.98,0.02
2_,CSF,ASIAN,,2.40296,0.194235,0.0808317,,31.045,,0.74,0.24,0.02,0.98,0.02,,0.74,0.24,0.02,0.98,0.02
2_,CSF,HISPANIC,,2.06558,0.251716,0.121862,,33.292,,0.74,0.24,0.02,0.98,0.02,,0.74,0.24,0.02,0.98,0.02
2_,D3,HISPANIC,,21.2233,0.00961536,0.000453057,,26.849,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
