Case Name,Locus,Race,,LR,Pn,Pd,,Time (seconds),,Pn HET0,Pn HET1,Pn HET2,Pn HOM0,Pn HOM1,,Pd HET0,Pd HET1,Pd HET2,Pd HOM0,Pd HOM1
353_,D2,BLACK,,0.00709643,1.21617e-05,0.00171378,,10.948,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,D2,CAUCASIAN,,0.0176819,4.35301e-05,0.00246184,,11.021,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,D2,HISPANIC,,0.00762065,0.000110546,0.0145061,,11.09,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,D2,ASIAN,,0.0159876,1.4256e-05,0.000891694,,11.08,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,D19,ASIAN,,1.85818,0.0505428,0.0272002,,11.637,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,D19,CAUCASIAN,,7.49487,0.144299,0.019253,,11.881,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,D19,BLACK,,6.94879,0.0178191,0.00256434,,12.031,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,D19,HISPANIC,,4.01702,0.0820103,0.0204157,,12.066,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,vWA,BLACK,,1.54182,0.000268268,0.000173994,,5.385,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,vWA,CAUCASIAN,,1.77357,0.000594694,0.000335308,,5.438,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,vWA,HISPANIC,,1.30732,0.000500659,0.000382965,,5.422,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,vWA,ASIAN,,2.00676,0.000592037,0.000295022,,5.442,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,TPOX,CAUCASIAN,,9.68823,0.00309232,0.000319183,,11.213,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,TPOX,HISPANIC,,4.37959,0.00501903,0.001146,,11.207,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,TPOX,BLACK,,12.3322,0.00629349,0.000510329,,11.251,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
353_,TPOX,ASIAN,,16.3375,0.00668922,0.00040944,,11.294,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
