Case,C1 LR,C2 LR,C3 LR,C4 LR
230,5.30E+09,6.88E+05,n/a,n/a
231,1.19E+10,4.57E+07,n/a,n/a
232,1.04E+11,5.39E+09,n/a,n/a
233,4.77E+07,2.26E+11,n/a,n/a
234,2.66E+02,4.67E+12,n/a,n/a
235,2.97E+08,6.67E+09,n/a,n/a
236,1.82E-04,8.09E+10,n/a,n/a
237,1.96E+04,1.01E+09,n/a,n/a
238,2.23E-04,5.66E+09,n/a,n/a
239,4.02E+04,2.69E+12,n/a,n/a
240,2.00E-02,4.61E+12,n/a,n/a
241,3.38E+10,2.02E+10,n/a,n/a
242,8.25E+07,1.17E+11,n/a,n/a
243,9.36E-05,2.70E+14,n/a,n/a
244,4.52E+10,4.03E+08,n/a,n/a
245,4.43E+08,2.49E+09,n/a,n/a
246,5.45E-03,1.08E+11,n/a,n/a
247,7.93E+10,4.07E+07,n/a,n/a
248,4.00E+07,3.26E+08,n/a,n/a
249,1.02E-05,3.30E+10,n/a,n/a
250,1.49E+10,3.98E+10,n/a,n/a
251,1.30E+10,3.93E+10,n/a,n/a
252,2.80E-01,6.23E+12,n/a,n/a
253,4.98E+11,5.94E+09,n/a,n/a
254,5.12E+05,9.11E+12,n/a,n/a
255,1.08E+10,6.92E+06,n/a,n/a
256,1.36E+04,7.33E+07,n/a,n/a
257,4.05E-07,3.34E+11,n/a,n/a
258,1.01E+09,1.69E+08,n/a,n/a
259,9.11E-07,1.86E-16,2.56E-07,2.22E+06
260,1.35E-04,2.32E-05,8.40E-16,6.83E+10
261,6.41E-31,1.08E-19,1.88E+09,6.48E+10
262,3.59E+11,5.07E-13,1.52E-15,2.13E+02
263,5.36E-18,3.00E-17,3.96E-09,1.83E+13
264,5.57E-08,3.62E-07,1.24E+00,3.20E+08
265,4.31E-15,1.29E-21,1.25E+09,4.00E+08
266,7.39E-29,2.19E-20,1.04E+09,1.45E+10
267,6.13E-15,1.01E-08,8.71E-03,8.53E+05
268,1.05E-07,1.11E-14,8.61E-07,1.80E+05
269,4.57E-13,4.39E-14,2.69E+11,1.10E-01
270,1.36E-21,1.76E-19,7.03E-11,3.64E+09
271,3.24E-12,1.19E-11,2.01E-03,3.27E+08
272,3.46E-21,8.06E-14,1.51E+01,8.96E+07
273,6.96E+06,4.40E-01,8.60E+01,n/a
274,3.86E-14,2.26E+08,6.88E+01,n/a
275,1.20E+08,4.00E-02,6.51E-04,n/a
276,1.87E+04,1.15E+00,7.58E+01,n/a
277,5.41E+07,7.10E-01,3.40E-01,n/a
278,7.23E+10,2.91E-17,1.30E-06,n/a
279,1.00E-02,7.23E+03,1.88E-08,n/a
280,2.94E+06,1.03E+05,1.63E-12,n/a
281,2.22E+01,4.47E+09,4.32E+02,n/a
282,3.43E-06,1.62E+07,7.26E+03,n/a
283,2.31E-28,2.59E+01,2.32E+07,n/a
284,2.20E+05,4.22E+03,1.08E+05,n/a
285,1.00E+08,3.90E+02,5.91E+03,n/a
286,7.26E+03,3.37E+03,2.47E+04,n/a
287,3.42E+03,9.12E+04,4.35E+05,n/a
288,5.93E+03,1.17E+02,4.92E+06,n/a
289,3.03E+02,2.15E+01,7.26E+08,n/a
290,2.80E+06,1.17E+03,9.85E+05,n/a
291,3.90E+08,8.46E+03,4.18E+06,n/a
292,4.11E+06,2.05E+04,1.33E+04,n/a
293,4.87E+05,4.45E+06,1.53E+02,n/a
294,8.71E+06,6.29E+01,2.72E+06,n/a
295,4.24E+04,5.00E-02,1.23E+08,n/a
296,7.17E+04,1.30E+06,3.53E+07,n/a
297,9.73E+06,8.72E+05,9.37E+06,n/a
298,6.60E+02,8.74E+06,6.37E+06,n/a
299,8.20E-03,3.22E+09,3.70E+06,n/a
300,6.33E+04,1.84E+06,5.81E+06,n/a
301,1.83E+04,5.56E+06,2.06E+09,n/a
302,4.36E+03,7.62E+02,3.64E+06,n/a
303,2.42E+05,3.15E+01,1.21E+07,n/a
304,1.58E+03,6.85E+04,1.22E+06,n/a
305,2.34E+03,4.55E+05,1.02E+04,n/a
306,1.97E+02,1.61E+04,1.18E+06,n/a
307,4.03E+02,4.59E+03,7.71E+07,n/a
308,8.35E+06,1.42E+02,5.33E+04,n/a
309,1.17E+09,2.63E+00,1.85E+04,n/a
310,1.93E+05,5.22E+03,6.14E+04,n/a
311,3.29E+04,5.67E+05,8.01E+02,n/a
312,1.78E+04,2.32E+02,6.93E+04,n/a
313,1.42E+03,4.49E+02,3.43E+07,n/a
314,9.11E+05,8.46E+04,1.29E+02,n/a
315,3.67E+07,4.59E+06,9.00E-01,n/a
316,2.70E+07,2.34E+07,5.00E-02,n/a
317,6.01E+06,1.59E+10,2.06E-05,n/a
318,1.51E+02,1.62E+03,4.09E+04,n/a
319,2.00E-02,2.01E+04,2.82E+06,n/a
320,2.82E+06,3.92E+02,1.30E+06,n/a
321,3.34E+07,1.28E+01,1.36E+04,n/a
322,2.00E+00,1.16E+06,1.73E+04,n/a
323,1.41E-03,6.64E+07,1.40E+05,n/a
324,5.65E+00,8.94E+01,2.85E+08,n/a
325,1.00E-02,3.20E-01,9.50E+09,n/a
326,3.19E+08,7.00E+02,1.77E+05,n/a
327,4.98E+09,3.16E+04,1.62E+05,n/a
328,8.18E+02,2.67E+06,4.79E+02,n/a
329,6.32E+00,1.56E+07,1.04E+02,n/a
330,1.64E+05,2.50E+02,3.63E+06,n/a
331,9.50E+04,3.11E+01,3.15E+07,n/a
332,3.10E+05,9.73E+06,1.25E+05,n/a
333,1.61E+06,2.20E+06,5.96E+05,n/a
334,3.68E+03,1.95E+08,4.45E+07,n/a
335,4.63E+01,6.09E+08,8.63E+07,n/a
336,1.61E+04,2.26E+06,1.52E+08,n/a
337,5.27E+02,1.98E+06,1.76E+09,n/a
338,3.86E+05,2.54E+03,6.28E+04,n/a
339,1.93E+06,6.06E+01,2.54E+03,n/a
340,2.87E+03,1.68E+06,2.96E+04,n/a
341,1.02E+02,1.23E+07,1.20E+03,n/a
342,1.28E+04,2.31E+03,1.24E+07,n/a
343,7.51E+03,1.69E+03,6.84E+07,n/a
344,5.03E+07,8.00E+02,4.39E+02,n/a
345,2.92E+08,1.27E+03,7.10E+01,n/a
346,7.25E+02,3.94E+05,5.11E+03,n/a
347,6.73E+01,7.02E+06,2.45E+06,n/a
348,9.21E+04,3.37E+01,1.68E+06,n/a
349,4.98E+03,1.13E+00,1.61E+07,n/a
350,2.36E+08,3.71E+07,1.04E+03,n/a
351,4.03E+09,3.72E+06,5.43E+02,n/a
352,6.32E+01,5.96E+08,1.35E+03,n/a
353,1.62E+02,7.38E+09,1.26E+04,n/a
354,1.26E+05,1.70E+04,6.85E+05,n/a
355,3.45E+05,1.01E+01,1.07E+07,n/a
356,1.01E-11,9.24E+06,1.62E+06,n/a
357,3.13E-07,7.72E+04,1.77E+07,n/a
358,1.82E-03,7.64E+07,9.24E+01,n/a
359,1.48E-06,1.07E+06,4.16E+06,n/a
360,6.01E-12,7.45E+08,7.98E+08,n/a
361,1.59E-05,3.23E+06,1.34E+05,n/a
362,1.16E-05,2.19E+05,1.21E+08,n/a
363,3.00E-02,6.35E+07,3.70E+07,n/a
364,2.03E-12,1.99E+08,7.26E+08,n/a
365,1.31E-06,9.60E+07,1.05E+08,n/a
366,5.59E-03,9.34E+04,6.57E+05,n/a
367,5.34E+01,1.41E+03,3.29E+06,n/a
368,2.35E-06,7.89E+05,2.63E+05,n/a
369,5.09E-13,3.41E+05,3.29E+08,n/a
370,1.52E+00,1.91E+06,9.28E+01,n/a
371,4.68E-04,2.87E+07,3.54E+04,n/a
372,1.42E-20,1.64E+06,9.27E+08,n/a
373,3.20E-03,2.93E+08,8.01E+05,n/a
374,6.00E-07,8.72E+07,2.06E+05,n/a
375,4.39E-03,6.95E+04,6.70E+05,n/a
376,9.61E-13,1.43E+05,2.11E+06,n/a
377,3.06E-06,1.82E+08,9.42E+05,n/a
378,2.27E+04,6.24E+02,1.02E+04,n/a
379,6.60E-12,6.95E+05,3.49E+07,n/a
380,3.58E-04,1.29E+06,7.44E+04,n/a
381,9.28E-08,1.96E+06,3.48E+04,n/a
382,1.00E-01,3.38E+04,2.02E+02,n/a
383,3.20E-03,2.93E+08,8.01E+05,n/a
384,6.89E+07,1.69E+02,3.31E-05,n/a
385,1.32E+02,9.32E-04,2.16E-06,n/a
386,8.13E+03,9.45E+01,9.00E-02,n/a
387,8.16E+03,8.72E+02,4.58E-03,n/a
388,4.08E+00,2.05E+05,5.49E-05,n/a
389,2.00E-02,4.40E-07,1.82E+09,n/a
