Case,,FST Column,FST LR,,reQBT Race,reQBT LR
100,,C1,10200000000.0,,HISPANIC,10242600000.0
101,,C1,47700000000.0,,HISPANIC,47741600000.0
104,,C1,1410000000.0,,CAUCASIAN,1406050000.0
105,,C1,35600000000.0,,BLACK,35634800000.0
106,,C1,27000.0,,CAUCASIAN,27032.7
107,,C1,15000000000.0,,HISPANIC,15014700000.0
108,,C1,87300.0,,HISPANIC,87251.2
109,,C1,20500.0,,HISPANIC,20475.8
110,,C1,20300000.0,,HISPANIC,20293300.0
111,,C1,9660000.0,,BLACK,9659300.0
112,,C1,286000.0,,HISPANIC,285748.0
114,,C1,6.01e+11,,HISPANIC,6.0102e+11
115,,C1,2800000000.0,,HISPANIC,2802660000.0
117,,C1,5240000000.0,,BLACK,5235740000.0
120,,C1,1.15e-06,,HISPANIC,1.13444e-06
122,,C1,5.41e+11,,CAUCASIAN,5.41106e+11
123,,C1,5.31e-19,,CAUCASIAN,5.31474e-19
129,,C1,6.14e-41,,HISPANIC,6.14494e-41
130,,C1,3.22e-10,,HISPANIC,3.22319e-10
134,,C1,0.00658,,CAUCASIAN,0.00658197
137,,C1,422000000.0,,CAUCASIAN,421754000.0
138,,C1,535000.0,,ASIAN,528262.0
140,,C1,394.0,,CAUCASIAN,393.54
141,,C1,8680000.0,,CAUCASIAN,8677040.0
143,,C1,147000.0,,CAUCASIAN,147080.0
145,,C1,190000000.0,,CAUCASIAN,190223000.0
156,,C1,89400000.0,,CAUCASIAN,89368300.0
159,,C1,203.0,,BLACK,203.196
161,,C1,36100000.0,,BLACK,36079500.0
163,,C1,436.0,,BLACK,436.491
165,,C1,17800000.0,,CAUCASIAN,17840400.0
166,,C1,9300000000.0,,ASIAN,9247770000.0
167,,C1,1700000000.0,,CAUCASIAN,1695020000.0
168,,C1,4540000000.0,,BLACK,4539180000.0
169,,C1,15100000.0,,BLACK,15090000.0
170,,C1,14500000000.0,,BLACK,14471600000.0
171,,C1,1.06e+11,,BLACK,1.05593e+11
172,,C1,24500000000.0,,BLACK,24476400000.0
179,,C1,231000000.0,,ASIAN,229464000.0
182,,C1,2080000.0,,CAUCASIAN,2075610.0
